"IP_ID","InvoiceID","PaymentDate","TotalPaid","PaymentMode"
"100","184","2024-02-27 00:00:00","6237.00","Credit Terms - 7 days                                                                                                                                 "
"101","185","2024-03-02 00:00:00","7162.00","Credit Terms - 30 days                                                                                                                                "
"102","187","2024-03-08 00:00:00","2866.00","Credit Terms - 15 days                                                                                                                                "
"103","188","2024-03-08 00:00:00","7486.00","Credit Terms - 30 days                                                                                                                                "
"104","189","2024-03-08 00:00:00","7192.00","Credit Terms - 15 days                                                                                                                                "
"106","190","2024-03-11 00:00:00","25650.00","By Cash                                                                                                                                               "
"107","191","2024-03-11 00:00:00","17844.00","By Cash                                                                                                                                               "
"108","192","2024-03-11 00:00:00","1013.00","By Cash                                                                                                                                               "
"109","193","2024-03-12 00:00:00","9379.00","Credit Terms - 30 days                                                                                                                                "
"110","194","2024-03-13 00:00:00","8438.00","Credit Terms - 15 days                                                                                                                                "
"112","195","2024-03-18 00:00:00","4531.00","By Cash                                                                                                                                               "
"113","197","2024-03-22 00:00:00","43287.00","Credit Terms - 7 days                                                                                                                                 "
"116","199","2024-03-23 00:00:00","10111.00","By Cash                                                                                                                                               "
"117","200","2024-03-23 00:00:00","4928.00","By Cash                                                                                                                                               "
"118","201","2024-03-23 00:00:00","810.00","By Cash                                                                                                                                               "
"119","202","2024-03-25 00:00:00","4118.00","By Cash                                                                                                                                               "
"120","203","2024-03-27 00:00:00","1676.00","By Cash                                                                                                                                               "
"121","204","2024-03-28 00:00:00","2670.00","By Cash                                                                                                                                               "
"122","205","2024-03-28 00:00:00","16148.00","By Cash                                                                                                                                               "
"124","206","2024-04-04 00:00:00","6008.00","Credit Terms - 30 days                                                                                                                                "
"125","207","2024-04-05 00:00:00","11206.00","By Cash                                                                                                                                               "
"126","208","2024-04-05 00:00:00","14260.00","Credit Terms - 15 days                                                                                                                                "
"127","1004","2024-04-06 00:00:00","5512.00","By Cash                                                                                                                                               "
"128","5","2024-04-08 00:00:00","5742.00","Credit Terms - 15 days                                                                                                                                "
"129","6","2024-04-08 00:00:00","7950.00","By Cash                                                                                                                                               "
"130","7","2024-04-08 00:00:00","10388.00","Credit Terms - 15 days                                                                                                                                "
"131","8","2024-04-08 00:00:00","4819.00","By Cash                                                                                                                                               "
"132","10","2024-04-08 00:00:00","1848.00","By Cash                                                                                                                                               "
"133","11","2024-04-08 00:00:00","3960.00","By Cash                                                                                                                                               "
"135","12","2024-04-09 00:00:00","4996.00","By Cash                                                                                                                                               "
"136","13","2024-04-09 00:00:00","41460.00","Credit Terms - 30 days                                                                                                                                "
"138","15","2024-04-09 00:00:00","26365.57","By Cash                                                                                                                                               "
"139","16","2024-04-12 00:00:00","24300.00","Credit Terms - 30 days                                                                                                                                "
"140","17","2024-04-12 00:00:00","6888.00","Credit Terms - 15 days                                                                                                                                "
"142","19","2024-04-13 00:00:00","10588.00","Credit Terms - 30 days                                                                                                                                "
"143","20","2024-04-13 00:00:00","5506.00","Credit Terms - 30 days                                                                                                                                "
"144","18","2024-04-16 00:00:00","15953.00","Credit Terms - 30 days                                                                                                                                "
"146","21","2024-04-16 00:00:00","66827.00","Credit Terms - 30 days                                                                                                                                "
"147","22","2024-04-17 00:00:00","4996.00","Credit Terms - 30 days                                                                                                                                "
"148","23","2024-04-17 00:00:00","32428.00","By Cash                                                                                                                                               "
"149","24","2024-04-17 00:00:00","13321.01","By Cash                                                                                                                                               "
"150","25","2024-04-17 00:00:00","25289.00","By Cash                                                                                                                                               "
"151","26","2024-04-18 00:00:00","6459.00","Credit Terms - 30 days                                                                                                                                "
"152","27","2024-04-18 00:00:00","4272.00","By Cash                                                                                                                                               "
"153","28","2024-04-20 00:00:00","1806.00","Credit Terms - 30 days                                                                                                                                "
"154","29","2024-04-22 00:00:00","4140.00","By Cash                                                                                                                                               "
"155","30","2024-04-22 00:00:00","2212.00","Credit Terms - 30 days                                                                                                                                "
"156","31","2024-04-22 00:00:00","9870.00","Credit Terms - 30 days                                                                                                                                "
"157","32","2024-04-23 00:00:00","1540.00","By Cash                                                                                                                                               "
"158","33","2024-04-24 00:00:00","2467.00","By Cash                                                                                                                                               "
"159","34","2024-04-24 00:00:00","6528.00","Credit Terms - 15 days                                                                                                                                "
"160","35","2024-04-25 00:00:00","9880.00","By Cash                                                                                                                                               "
"161","36","2024-04-25 00:00:00","95914.85","By Cash                                                                                                                                               "
"163","38","2024-04-27 00:00:00","25950.00","By Cash                                                                                                                                               "
"164","14","2024-04-27 00:00:00","28668.35","By Cash                                                                                                                                               "
"167","37","2024-04-27 00:00:00","36158.00","By Cash                                                                                                                                               "
"169","40","2024-04-28 00:00:00","82350.00","By Cash                                                                                                                                               "
"170","41","2024-04-28 00:00:00","5205.00","By Cash                                                                                                                                               "
"171","42","2024-04-29 00:00:00","36126.00","By Cash                                                                                                                                               "
"172","43","2024-05-02 00:00:00","53560.00","By Cash                                                                                                                                               "
"173","44","2024-05-02 00:00:00","1187.00","By Cash                                                                                                                                               "
"174","45","2024-05-02 00:00:00","9297.45","By Cash                                                                                                                                               "
"175","46","2024-05-02 00:00:00","17204.00","Credit Terms - 30 days                                                                                                                                "
"1176","48","2024-05-06 00:00:00","33741.00","By Cash                                                                                                                                               "
"1177","49","2024-05-06 00:00:00","4163.00","By Cash                                                                                                                                               "
"1178","50","2024-05-06 00:00:00","3802.00","Credit Terms - 30 days                                                                                                                                "
"1180","51","2024-05-06 00:00:00","4065.00","By Cash                                                                                                                                               "
"1181","52","2024-05-07 00:00:00","21458.00","By Cash                                                                                                                                               "
"1182","53","2024-05-07 00:00:00","8004.00","By Cash                                                                                                                                               "
"1183","54","2024-05-08 00:00:00","4442.00","By Cash                                                                                                                                               "
"1184","55","2024-05-09 00:00:00","3559.00","By Cash                                                                                                                                               "
"1185","56","2024-05-09 00:00:00","3523.00","By Cash                                                                                                                                               "
"1186","57","2024-05-09 00:00:00","3386.00","By Cash                                                                                                                                               "
"1187","58","2024-05-09 00:00:00","9931.00","Credit Terms - 30 days                                                                                                                                "
"1188","59","2024-05-09 00:00:00","6730.00","Credit Terms - 30 days                                                                                                                                "
"1189","60","2024-05-09 00:00:00","469.00","By Cash                                                                                                                                               "
"2188","61","2024-05-11 00:00:00","69831.00","Credit Terms - 30 days                                                                                                                                "
"2189","62","2024-05-11 00:00:00","24589.50","By Cash                                                                                                                                               "
"2190","63","2024-05-13 00:00:00","1500.00","By Cash                                                                                                                                               "
"2191","64","2024-05-13 00:00:00","719.00","By Cash                                                                                                                                               "
"2192","65","2024-05-15 00:00:00","10028.83","Credit Terms - 180 days                                                                                                                               "
"2193","66","2024-05-17 00:00:00","35596.00","By Cash                                                                                                                                               "
"2194","67","2024-05-20 00:00:00","5310.00","By Cash                                                                                                                                               "
"2195","68","2024-05-21 00:00:00","26427.00","By Cash                                                                                                                                               "
"2196","69","2024-05-21 00:00:00","16524.00","Credit Terms - 30 days                                                                                                                                "
"2197","70","2024-05-21 00:00:00","46187.00","Credit Terms - 30 days                                                                                                                                "
"2198","71","2024-05-21 00:00:00","5192.00","Credit Terms - 30 days                                                                                                                                "
"2199","72","2024-05-22 00:00:00","9203.00","By Cash                                                                                                                                               "
"2200","73","2024-05-22 00:00:00","30636.00","Credit Terms - 30 days                                                                                                                                "
"2201","74","2024-05-22 00:00:00","1710.00","By Cash                                                                                                                                               "
"2202","75","2024-05-22 00:00:00","1556.00","Credit Terms - 30 days                                                                                                                                "
"2203","76","2024-05-22 00:00:00","1969.00","By Cash                                                                                                                                               "
"2204","77","2024-05-22 00:00:00","810.00","By Cash                                                                                                                                               "
"2205","78","2024-05-23 00:00:00","8874.00","By Cash                                                                                                                                               "
"2208","80","2024-05-24 00:00:00","31359.00","By Cash                                                                                                                                               "
"2209","81","2024-05-24 00:00:00","4305.00","By Cash                                                                                                                                               "
"2210","79","2024-05-25 00:00:00","7921.00","By Cash                                                                                                                                               "
"2211","82","2024-05-25 00:00:00","8771.00","By Cash                                                                                                                                               "
"2212","83","2024-05-25 00:00:00","5433.00","Credit Terms - 30 days                                                                                                                                "
"2213","84","2024-05-25 00:00:00","2094.00","Credit Terms - 30 days                                                                                                                                "
"2214","85","2024-05-25 00:00:00","33957.00","By Cash                                                                                                                                               "
"2215","86","2024-05-25 00:00:00","33382.00","Credit Terms - 30 days                                                                                                                                "
"2217","87","2024-05-26 00:00:00","3936.00","By Cash                                                                                                                                               "
"2218","88","2024-05-29 00:00:00","24563.00","Credit Terms - 30 days                                                                                                                                "
"2219","89","2024-05-29 00:00:00","2835.00","By Cash                                                                                                                                               "
"2220","90","2024-05-29 00:00:00","1897.00","By Cash                                                                                                                                               "
"2222","91","2024-05-29 00:00:00","5220.00","By Cash                                                                                                                                               "
"2223","92","2024-05-30 00:00:00","16674.30","Credit Terms - 7 days                                                                                                                                 "
"2224","95","2024-06-03 00:00:00","7365.00","Credit Terms - 15 days                                                                                                                                "
"2225","96","2024-06-04 00:00:00","35524.00","By Cash                                                                                                                                               "
"2226","97","2024-06-04 00:00:00","2152.00","By Cash                                                                                                                                               "
"2227","98","2024-06-04 00:00:00","20094.00","By Cash                                                                                                                                               "
"2228","99","2024-06-04 00:00:00","20092.00","By Cash                                                                                                                                               "
"2229","10100","2024-06-04 00:00:00","4861.00","By Cash                                                                                                                                               "
"2230","10101","2024-06-04 00:00:00","26016.00","Credit Terms - 30 days                                                                                                                                "
