"PID","ProductCode","ProductName","ProductNameTamil","HSNCode","Category","Manufacturer","Description","CostPrice","Discount","CGST","SGST","ReorderPoint","Unit","Barcode"
"58","P-0058                        ","Filomilo Treats Shiny & Healthy Coat 70g                                                                                                                                                                ","","1905                          ","Dog Treat                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10058"
"59","P-0059                        ","Filomilo Treats Strongest Ever Immunity 70g                                                                                                                                                             ","","1905                          ","Dog Treat                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10059"
"60","P-0060                        ","FILO-C Tablet - 60                                                                                                                                                                                      ","","5061019                       ","Multivitamin                                                                                                                                                                                            ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10060"
"61","P-0061                        ","Purple Tail Treat Balls 70g                                                                                                                                                                             ","","2202                          ","Dog Treat                                                                                                                                                                                               ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","10061"
"62","P-0062                        ","WELL UP TABLETS 30S                                                                                                                                                                                     ","","2309909                       ","Multivitamin                                                                                                                                                                                            ","Vetina                                                                                                                                                                                                  ","","0.00","0.00","9.00","9.00","15","No                                                                                                                                                    ","10062"
"63","P-0063                        ","VETINA PUPPY & KITTEN MILK 200GM                                                                                                                                                                        ","","0402299                       ","Milk Product                                                                                                                                                                                            ","Vetina                                                                                                                                                                                                  ","","0.00","0.00","2.50","2.50","10","No                                                                                                                                                    ","10063"
"64","P-0064                        ","Tea Tree soap                                                                                                                                                                                           ","","34011919                      ","Soap                                                                                                                                                                                                    ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","10","No                                                                                                                                                    ","10064"
"65","P-0065                        ","Fidele+ Large Puppy 1KG                                                                                                                                                                                 ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","6","No                                                                                                                                                    ","10065"
"66","P-0066                        ","Grain Zero Dog Starter 3KG                                                                                                                                                                              ","","23091000                      ","Dog food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10066"
"67","P-0067                        ","grain zeo treat                                                                                                                                                                                         ","","23091000                      ","cat treat                                                                                                                                                                                               ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10067"
"68","P-0068                        ","Me-o Persian Kitten 1.1KG                                                                                                                                                                               ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","10","No                                                                                                                                                    ","10068"
"69","P-0069                        ","Freedom cat kitten 1.2kg promo                                                                                                                                                                          ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10069"
"70","P-0070                        ","Grain Zero Persian 1.2kg promo                                                                                                                                                                          ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","6","No                                                                                                                                                    ","10070"
"71","P-0071                        ","Grain Zero Puppy Gravy 150g                                                                                                                                                                             ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","30","No                                                                                                                                                    ","10071"
"72","P-0072                        ","Grain Zero Adult Gravy 150g                                                                                                                                                                             ","","23091000                      ","Dog Gravy                                                                                                                                                                                               ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","30","No                                                                                                                                                    ","10072"
"73","P-0073                        ","Me-o Tuna 3KG                                                                                                                                                                                           ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10073"
"74","P-0074                        ","Me-o Ocean Kitten 2.8kg                                                                                                                                                                                 ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10074"
"75","P-0075                        ","Me-o Ocean Kitten 1.1kg                                                                                                                                                                                 ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10075"
"76","P-0076                        ","Me-o Tuna 450G                                                                                                                                                                                          ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10076"
"77","P-0077                        ","Me-o Tuna 1.2KG                                                                                                                                                                                         ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10077"
"78","P-0078                        ","Me-o Sea Food 1.2KG                                                                                                                                                                                     ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10078"
"79","P-0079                        ","Me-o Chi&Veg 450G                                                                                                                                                                                       ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10079"
"80","P-0080                        ","Me-o Mackeral 450G                                                                                                                                                                                      ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10080"
"81","P-0081                        ","Me-o Gourmet 400G                                                                                                                                                                                       ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10081"
"82","P-0082                        ","Me-o Persian Adult AHB 2.8KG                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10082"
"83","P-0083                        ","Me-o Ocean Kitten 400G                                                                                                                                                                                  ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10083"
"84","P-0084                        ","Me-o Seafood  3KG                                                                                                                                                                                       ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10084"
"85","P-0085                        ","Me-o Seafood  450G                                                                                                                                                                                      ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10085"
"86","P-0086                        ","Me-o Salmon 400G                                                                                                                                                                                        ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10086"
"87","P-0087                        ","Me-o Salmon 1KG                                                                                                                                                                                         ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10087"
"88","P-0088                        ","Me-o Gourmet 1.1KG                                                                                                                                                                                      ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10088"
"89","P-0089                        ","Me-o Persian Adult AHB 1.2KG                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","10089"
"90","P-0090                        ","Me-o Persian Kitten 400G                                                                                                                                                                                ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10090"
"91","P-0091                        ","purple berry blast 250ml shampoo                                                                                                                                                                        ","","33050000                      ","Shampoo                                                                                                                                                                                                 ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","10091"
"92","P-0092                        ","purple bubble boom 250ml shampoo                                                                                                                                                                        ","","33050000                      ","Shampoo                                                                                                                                                                                                 ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","10092"
"93","P-0093                        ","purple sweet rascal 250ml shampoo                                                                                                                                                                       ","","33050000                      ","Shampoo                                                                                                                                                                                                 ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","10093"
"94","P-0094                        ","Meo Adult Dry Gourmet 7kg                                                                                                                                                                               ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10094"
"95","P-0095                        ","Meo Adult Dry Mackerel 7kg                                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10095"
"96","P-0096                        ","Meo Adult Dry Salmon 7kg                                                                                                                                                                                ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10096"
"97","P-0097                        ","Meo Adult Dry Sea food 7kg                                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10097"
"98","P-0098                        ","Meo Adult Dry Tuna 7kg                                                                                                                                                                                  ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10098"
"99","P-0099                        ","Meo Adult Dry Mackerel 3kg                                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10099"
"100","P-0100                        ","Meo Adult Dry sea food 3kg                                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10100"
"101","P-0101                        ","Meo Adult Dry Tuna 3kg                                                                                                                                                                                  ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10101"
"102","P-0102                        ","Meo Adult Dry Mackerel 1.2kg                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10102"
"103","P-0103                        ","Meo Adult Dry Sea food 1.2kg                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10103"
"104","P-0104                        ","Meo Adult Dry Tuna 1.2kg                                                                                                                                                                                ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10104"
"105","P-0105                        ","Meo Adult Dry Salmon 1.1kg                                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10105"
"106","P-0106                        ","Meo Adult Dry Gourmet 400gms                                                                                                                                                                            ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10106"
"107","P-0107                        ","Meo Adult Dry Salmon 400gms                                                                                                                                                                             ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10107"
"110","P-0110                        ","Meo Kitten Dry Ocean fish 1.1kg                                                                                                                                                                         ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10110"
"111","P-0111                        ","Meo Kitten Dry Ocean fish 2.8kg                                                                                                                                                                         ","","23091000                      ","Cat Food                                                                                                                                                                                                ","PCG                                                                                                                                                                                                     ","","0.00","0.00","9.00","9.00","0","No                                                                                                                                                    ","10111"
