"PID","ProductCode","ProductName","ProductNameTamil","HSNCode","Category","Manufacturer","Description","CostPrice","Discount","CGST","SGST","ReorderPoint","Unit","Barcode"
"28","P-0028                        ","Fidele+ S&M Puppy 1KG                                                                                                                                                                                   ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","9","No                                                                                                                                                    ","100028"
"29","P-0029                        ","Fidele+ S&M Adult 1KG                                                                                                                                                                                   ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","9","No                                                                                                                                                    ","100029"
"30","P-0030                        ","Fidele+ S&M Adult 3KG WFP                                                                                                                                                                               ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","5","No                                                                                                                                                    ","100030"
"31","P-0031                        ","Fidele+ Large Adult 1KG                                                                                                                                                                                 ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","9","No                                                                                                                                                    ","100031"
"32","P-0032                        ","Denta Paste 50G                                                                                                                                                                                         ","","33061020                      ","Paste                                                                                                                                                                                                   ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","25","No                                                                                                                                                    ","100032"
"33","P-0033                        ","Fidele+ Large Adult 20KG                                                                                                                                                                                ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","100033"
"34","P-0034                        ","Fidele+ S&M Adult 20KG                                                                                                                                                                                  ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","100034"
"35","P-0035                        ","Fidele+ Starter 20KG                                                                                                                                                                                    ","","23091000                      ","Dog food                                                                                                                                                                                                ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","2","No                                                                                                                                                    ","100035"
"36","P-0036                        ","So Shiny 200ML                                                                                                                                                                                          ","","33051090                      ","Shampoo                                                                                                                                                                                                 ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","30","No                                                                                                                                                    ","100036"
"37","P-0037                        ","So Shiny 500ML                                                                                                                                                                                          ","","33051090                      ","Shampoo                                                                                                                                                                                                 ","Orange Pet                                                                                                                                                                                              ","","0.00","0.00","9.00","9.00","10","No                                                                                                                                                    ","100037"
