"Id","ProductID","Qty","PurchaseCost","SalesCost","MRP","BatchNo","MfgDate","ExpiryDate","Barcode"
"55","45","0.00","5677.97","11355.93","13400.00","JAN-23                                            ","2023-10-03 00:00:00","2024-05-03 00:00:00","100045"
"56","35","1.00","5296.61","10593.22","12500.00","JUL-23                                            ","2023-10-02 00:00:00","2024-11-11 00:00:00","100035"
"57","33","0.00","4766.95","9533.90","11250.00","JUL-23                                            ","2023-10-02 00:00:00","2024-11-05 00:00:00","100033"
"58","34","1.00","5042.37","10084.75","11900.00","JUL-23                                            ","2023-10-02 00:00:00","2024-11-04 00:00:00","100034"
"61","18","0.00","192.00","347.46","410.00","TSCA130929                                        ","2023-09-21 00:00:00","2025-09-21 00:00:00","100018"
"62","47","420.00","0.00","0.00","0.00","0                                                 ","2023-10-17 00:00:00","2023-10-17 00:00:00","10047"
"64","50","0.00","332.37","614.41","725.00","TSNP010523                                        ","2023-10-21 00:00:00","2025-10-21 00:00:00","10050"
"65","49","0.00","343.83","635.59","750.00","TSNS030923                                        ","2023-10-21 00:00:00","2025-10-01 00:00:00","10049"
"66","51","0.00","802.27","1483.05","1750.00","CSNP160923                                        ","2023-10-21 00:00:00","2025-10-01 00:00:00","10051"
"67","52","0.00","210.78","381.36","450.00","TSCK110923                                        ","2023-10-21 00:00:00","2025-10-01 00:00:00","10052"
"68","53","9.00","192.05","347.46","410.00","TSCA130923                                        ","2023-10-21 00:00:00","2025-10-01 00:00:00","10053"
"69","33","3.00","5720.34","9533.90","11250.00","AUG-23                                            ","2023-10-21 00:00:00","2024-11-05 00:00:00","100033"
"70","44","7.00","6050.85","10084.75","11900.00","AUG-23                                            ","2023-10-03 00:00:00","2024-11-05 00:00:00","100044"
"71","45","2.00","6813.56","11355.93","13400.00","JUL-23                                            ","2023-10-21 00:00:00","2024-11-10 00:00:00","100045"
"72","34","1.00","6050.85","10084.75","11900.00","JUL23                                             ","2023-10-02 00:00:00","2024-11-04 00:00:00","100034"
"73","35","4.00","6355.93","10593.22","12500.00","JUL23                                             ","2023-10-02 00:00:00","2024-11-11 00:00:00","100035"
"74","54","0.00","360.16","720.34","850.00","230672                                            ","2023-10-21 00:00:00","2026-04-30 00:00:00","10054"
"75","5","0.00","143.48","295.76","349.00","MEF005                                            ","2023-08-06 00:00:00","2024-11-04 00:00:00","100005"
"76","8","0.00","81.81","168.64","199.00","MEF010                                            ","2023-05-01 00:00:00","2025-03-04 00:00:00","100008"
"77","11","0.00","10.46","16.95","20.00","B-04                                              ","2023-06-06 00:00:00","2025-03-09 00:00:00","100011"
"78","55","4.00","251.58","570.48","599.00","CS06                                              ","2023-10-23 00:00:00","2026-09-27 00:00:00","10055"
"79","56","6.00","44.40","83.90","99.00","FTHHT02                                           ","2023-10-23 00:00:00","2025-01-20 00:00:00","10056"
"80","57","6.00","44.40","83.90","99.00","FTRBJO1                                           ","2023-10-23 00:00:00","2024-09-03 00:00:00","10057"
"81","58","6.00","44.40","83.90","99.00","FTSHC01                                           ","2023-10-23 00:00:00","2024-09-08 00:00:00","10058"
"82","59","29.00","44.40","83.90","99.00","FTSEI01                                           ","2023-10-23 00:00:00","2024-09-08 00:00:00","10059"
"83","61","18.00","44.40","83.90","99.00","CTB002                                            ","2023-10-23 00:00:00","2024-02-25 00:00:00","10061"
"84","60","40.00","120.68","253.39","299.00","CH0159                                            ","2023-10-23 00:00:00","2025-08-31 00:00:00","10060"
"85","9","0.00","81.81","168.64","199.00","MUF012                                            ","2023-09-04 00:00:00","2025-03-04 00:00:00","100009"
"86","7","0.00","81.81","168.64","199.00","CF012                                             ","2023-08-24 00:00:00","2025-03-27 00:00:00","100007"
"87","62","10.00","101.70","190.68","225.00","WU005                                             ","2023-11-01 00:00:00","2024-11-24 00:00:00","10062"
"88","63","35.00","380.95","714.29","750.00","PM020                                             ","2023-11-01 00:00:00","2025-01-01 00:00:00","10063"
"89","2","0.00","1008.57","1864.41","2200.00","NSCK061023                                        ","2023-10-01 00:00:00","2025-10-01 00:00:00","100002"
"90","3","0.00","916.88","1694.92","2000.00","NSCP071023                                        ","2023-10-01 00:00:00","2025-10-01 00:00:00","100003"
"91","64","100.00","33.90","67.80","80.00","SOAP40                                            ","2023-11-03 00:00:00","2026-06-30 00:00:00","10064"
"92","65","4.00","344.81","656.78","775.00","15072023                                          ","2023-11-03 00:00:00","2024-11-30 00:00:00","10065"
"93","66","6.00","848.11","1567.80","1850.00","CSNS200723                                        ","2023-10-01 00:00:00","2025-10-15 00:00:00","10066"
"94","51","0.00","802.27","1483.05","1750.00","CSNP010523                                        ","2023-10-21 00:00:00","2025-10-01 00:00:00","10051"
"95","16","0.00","206.30","381.36","450.00","TSCK061023                                        ","2023-10-01 00:00:00","2025-10-08 00:00:00","100016"
"96","17","0.00","197.13","364.41","430.00","TSCP071023                                        ","2023-10-01 00:00:00","2025-10-01 00:00:00","100017"
"97","50","0.00","332.37","614.41","725.00","TSNP021023                                        ","2023-10-21 00:00:00","2025-10-21 00:00:00","10050"
"98","67","320.00","45.02","83.90","99.00","OGZC101123                                        ","2023-12-06 00:00:00","2025-11-01 00:00:00","10067"
"99","18","0.00","187.96","347.46","410.00","TSCA081023                                        ","2023-10-01 00:00:00","2025-10-01 00:00:00","100018"
"100","1","0.00","871.04","1610.17","1900.00","NSCA130923                                        ","2023-10-11 00:00:00","2025-10-08 00:00:00","100001"
"101","68","39.00","274.60","381.36","450.00","1                                                 ","2023-11-01 00:00:00","2025-04-04 00:00:00","10068"
"102","70","0.00","197.13","364.41","430.00","12                                                ","2023-12-01 00:00:00","2025-12-01 00:00:00","10070"
"103","69","12.00","197.13","364.41","430.00","12                                                ","2023-11-01 00:00:00","2025-11-01 00:00:00","10069"
