"SP_ID","StockID","ProductID","BatchNo","Qty","FreeQty","MRP","Price","CGSTPer","CGSTAmt","SGSTPer","SGSTAmt","IGSTPer","IGSTAmt","DiscountPer","DiscountAmt","SalesRate","TotalAmount","MfgDate","ExpiryDate"
"99","7","1","NSCA150523","1.00","","1900.00","871.04","9.00","78.39","9.00","78.39","0.00","0.00","0.0000","0.00","1610.17","1027.82","2023-06-17 00:00:00","2025-06-17 00:00:00"
"100","8","24","EC028","120.00","","55.00","23.30","9.00","251.64","9.00","251.64","0.00","0.00","0.0000","0.00","46.61","3299.28","2023-10-02 00:00:00","2026-07-30 00:00:00"
"101","8","25","REX039","20.00","","195.00","99.15","9.00","178.47","9.00","178.47","0.00","0.00","0.0000","0.00","165.25","2339.94","2023-10-02 00:00:00","2026-07-31 00:00:00"
"102","8","26","19062023","24.00","","880.00","391.53","9.00","845.70","9.00","845.70","0.00","0.00","0.0000","0.00","745.76","11088.12","2023-10-02 00:00:00","2024-10-31 00:00:00"
"103","8","27","01082023P","8.00","","2450.00","1090.04","9.00","784.83","9.00","784.83","0.00","0.00","0.0000","0.00","2076.27","10289.98","2023-10-02 00:00:00","2024-12-31 00:00:00"
"104","8","28","15072023","16.00","","870.00","387.08","9.00","557.40","9.00","557.40","0.00","0.00","0.0000","0.00","737.29","7308.08","2023-10-02 00:00:00","2024-11-30 00:00:00"
"105","8","29","1082023","12.00","","800.00","355.93","9.00","384.40","9.00","384.40","0.00","0.00","0.0000","0.00","677.97","5039.96","2023-10-02 00:00:00","2024-11-30 00:00:00"
"106","8","30","01082023P","8.00","","2200.00","978.81","9.00","704.74","9.00","704.74","0.00","0.00","0.0000","0.00","1864.41","9239.96","2023-10-02 00:00:00","2024-12-31 00:00:00"
"107","8","31","05052023","24.00","","750.00","333.69","9.00","720.77","9.00","720.77","0.00","0.00","0.0000","0.00","635.59","9450.10","2023-10-02 00:00:00","2024-09-30 00:00:00"
"108","9","32","2","60.00","","160.00","67.79","9.00","366.07","9.00","366.07","0.00","0.00","0.0000","0.00","135.59","4799.54","2023-10-06 00:00:00","2023-10-06 00:00:00"
"109","9","33","JUL-23","6.00","","11250.00","4766.95","9.00","2574.15","9.00","2574.15","0.00","0.00","0.0000","0.00","9533.90","33750.00","2023-10-02 00:00:00","2024-11-05 00:00:00"
"110","9","34","JUL-23","2.00","","11900.00","5042.37","9.00","907.63","9.00","907.63","0.00","0.00","0.0000","0.00","10084.75","11900.00","2023-10-02 00:00:00","2024-11-04 00:00:00"
"111","9","35","JUL-23","2.00","","12500.00","5296.61","9.00","953.39","9.00","953.39","0.00","0.00","0.0000","0.00","10593.22","12500.00","2023-10-02 00:00:00","2024-11-11 00:00:00"
"112","10","24","EC027","180.00","","55.00","23.30","9.00","377.46","9.00","377.46","0.00","0.00","0.0000","0.00","46.61","4948.92","2023-10-02 00:00:00","2026-06-30 00:00:00"
"113","10","36","147","60.00","","220.00","93.22","9.00","503.39","9.00","503.39","0.00","0.00","0.0000","0.00","186.44","6599.98","2023-10-06 00:00:00","2026-06-30 00:00:00"
"114","10","37","142","60.00","","475.00","201.26","9.00","1086.80","9.00","1086.80","0.00","0.00","0.0000","0.00","402.54","14249.20","2023-10-03 00:00:00","2026-04-30 00:00:00"
"115","10","38","REX031","4.00","","1675.00","851.69","9.00","306.61","9.00","306.61","0.00","0.00","0.0000","0.00","1419.49","4019.98","2023-10-03 00:00:00","2026-01-31 00:00:00"
"116","10","39","230671","12.00","","1375.00","699.15","9.00","755.08","9.00","755.08","0.00","0.00","0.0000","0.00","1165.25","9899.96","2023-10-03 00:00:00","2026-04-30 00:00:00"
"117","10","40","230673","5.00","","5300.00","2694.92","9.00","1212.71","9.00","1212.71","0.00","0.00","0.0000","0.00","4491.53","15900.02","2023-10-03 00:00:00","2026-04-30 00:00:00"
"118","10","41","230801","12.00","","2025.00","1029.66","9.00","1112.03","9.00","1112.03","0.00","0.00","0.0000","0.00","1716.10","14579.98","2023-10-03 00:00:00","2026-04-30 00:00:00"
"119","10","27","01082023P","24.00","","2450.00","1090.04","9.00","2354.49","9.00","2354.49","0.00","0.00","0.0000","0.00","2076.27","30869.94","2023-10-02 00:00:00","2024-12-31 00:00:00"
"120","10","29","15072023","12.00","","800.00","355.93","9.00","384.40","9.00","384.40","0.00","0.00","0.0000","0.00","677.97","5039.96","2023-10-02 00:00:00","2024-11-30 00:00:00"
"121","10","30","01082023P","8.00","","2200.00","978.81","9.00","704.74","9.00","704.74","0.00","0.00","0.0000","0.00","1864.41","9239.96","2023-10-02 00:00:00","2024-12-31 00:00:00"
"122","10","42","01082023P","8.00","","2225.00","989.94","9.00","712.76","9.00","712.76","0.00","0.00","0.0000","0.00","1885.59","9345.04","2023-10-03 00:00:00","2024-12-31 00:00:00"
"123","10","31","05052023","20.00","","750.00","333.69","9.00","600.64","9.00","600.64","0.00","0.00","0.0000","0.00","635.59","7875.08","2023-10-02 00:00:00","2024-09-30 00:00:00"
"124","10","43","01082023P","32.00","","2150.00","956.57","9.00","2754.92","9.00","2754.92","0.00","0.00","0.0000","0.00","1822.03","36120.08","2023-10-03 00:00:00","2024-12-31 00:00:00"
"125","10","44","APR-23","7.00","","11900.00","5042.37","9.00","3176.69","9.00","3176.69","0.00","0.00","0.0000","0.00","10084.75","41649.97","2023-10-03 00:00:00","2024-08-03 00:00:00"
"126","10","45","JAN-23","2.00","","13400.00","5677.97","9.00","1022.03","9.00","1022.03","0.00","0.00","0.0000","0.00","11355.93","13400.00","2023-10-03 00:00:00","2024-05-03 00:00:00"
"127","10","35","JUL-23","2.00","","12500.00","5296.61","9.00","953.39","9.00","953.39","0.00","0.00","0.0000","0.00","10593.22","12500.00","2023-10-02 00:00:00","2024-11-11 00:00:00"
"128","11","18","TSCA130929","6.00","","410.00","192.00","9.00","103.68","9.00","103.68","0.00","0.00","0.0000","0.00","347.46","1359.36","2023-09-21 00:00:00","2025-09-21 00:00:00"
"129","11","47","0","420.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0000","0.00","0.00","0.00","2023-10-17 00:00:00","2023-10-17 00:00:00"
"131","13","50","TSNP010523","12.00","","725.00","332.37","9.00","358.96","9.00","358.96","0.00","0.00","0.0000","0.00","614.41","4706.36","2023-10-21 00:00:00","2025-10-21 00:00:00"
"132","13","49","TSNS030923","12.00","","750.00","343.83","9.00","371.33","9.00","371.33","0.00","0.00","0.0000","0.00","635.59","4868.60","2023-10-21 00:00:00","2025-10-01 00:00:00"
"133","13","51","CSNP160923","12.00","","1750.00","802.27","9.00","866.45","9.00","866.45","0.00","0.00","0.0000","0.00","1483.05","11360.14","2023-10-21 00:00:00","2025-10-01 00:00:00"
