"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"2582","2024-07-02 00:00:00","The Nest                                                                                                                                                                                                ","INV-2024-10150                                    ","Sales                                                                                                                                                                                                   ","3195.00","0.00","C-0006              "
"2583","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10150                                    ","Payment                                                                                                                                                                                                 ","0.00","3195.00","C-0006              "
"2584","2024-07-02 00:00:00","LORDS PET WORLD                                                                                                                                                                                         ","INV-2024-10151                                    ","Sales                                                                                                                                                                                                   ","24165.00","0.00","C-0032              "
"2585","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10151                                    ","Payment                                                                                                                                                                                                 ","0.00","24165.00","C-0032              "
"2586","2024-07-02 00:00:00","AQUA STREET                                                                                                                                                                                             ","INV-2024-10152                                    ","Sales                                                                                                                                                                                                   ","1620.00","0.00","C-0021              "
"2587","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10152                                    ","Payment                                                                                                                                                                                                 ","0.00","1620.00","C-0021              "
"2588","2024-07-02 00:00:00","ANNAI AQUARIUM                                                                                                                                                                                          ","INV-2024-10153                                    ","Sales                                                                                                                                                                                                   ","4861.00","0.00","C-0014              "
"2589","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10153                                    ","Payment                                                                                                                                                                                                 ","0.00","4861.00","C-0014              "
"2590","2024-07-02 00:00:00","Dr Bose & Bose Bird and Animal Hospital                                                                                                                                                                 ","INV-2024-10154                                    ","Sales                                                                                                                                                                                                   ","3802.00","0.00","C-0012              "
"2591","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10154                                    ","Payment                                                                                                                                                                                                 ","0.00","3802.00","C-0012              "
"2594","2024-07-02 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2024-10156                                    ","Sales                                                                                                                                                                                                   ","5062.00","0.00","C-0005              "
"2595","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10156                                    ","Payment                                                                                                                                                                                                 ","0.00","5062.00","C-0005              "
"2596","2024-07-02 00:00:00","VM Pets Mart                                                                                                                                                                                            ","INV-2024-10157                                    ","Sales                                                                                                                                                                                                   ","7891.00","0.00","C-0011              "
"2597","2024-07-02 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10157                                    ","Payment                                                                                                                                                                                                 ","0.00","7891.00","C-0011              "
"2600","2024-06-28 00:00:00","EVERGREEN AGENCIES                                                                                                                                                                                      ","INV-2024-10144                                    ","Sales                                                                                                                                                                                                   ","9124.00","0.00","C-0040              "
"2601","2024-07-04 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10144                                    ","Payment                                                                                                                                                                                                 ","0.00","9124.00","C-0040              "
"2603","2024-06-28 00:00:00","JD Pet Clinic                                                                                                                                                                                           ","INV-2024-10146                                    ","Sales                                                                                                                                                                                                   ","3946.00","0.00","C-0002              "
"2604","2024-06-28 00:00:00","WOW PUPS                                                                                                                                                                                                ","INV-2024-10143                                    ","Sales                                                                                                                                                                                                   ","4861.00","0.00","C-0023              "
"2605","2024-06-28 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10143                                    ","Payment                                                                                                                                                                                                 ","0.00","4861.00","C-0023              "
"2606","2024-06-22 00:00:00","DHINESH                                                                                                                                                                                                 ","INV-2024-10137                                    ","Sales                                                                                                                                                                                                   ","97735.00","0.00","C-0028              "
"2609","2024-07-05 00:00:00","The Nest                                                                                                                                                                                                ","INV-2024-10159                                    ","Sales                                                                                                                                                                                                   ","616.00","0.00","C-0006              "
"2610","2024-07-05 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10159                                    ","Payment                                                                                                                                                                                                 ","0.00","616.00","C-0006              "
"2613","2024-07-05 00:00:00","JJ AQUARIUM                                                                                                                                                                                             ","INV-2024-10160                                    ","Sales                                                                                                                                                                                                   ","6244.00","0.00","C-0024              "
"2614","2024-07-05 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10160                                    ","Payment                                                                                                                                                                                                 ","0.00","6244.00","C-0024              "
"2615","2024-07-02 00:00:00","Dr Bose & Bose Bird and Animal Hospital                                                                                                                                                                 ","INV-2024-10155                                    ","Sales                                                                                                                                                                                                   ","3896.00","0.00","C-0012              "
"2616","2024-07-06 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10155                                    ","Payment                                                                                                                                                                                                 ","0.00","3896.00","C-0012              "
"2617","2024-07-06 00:00:00","AQUA STREET                                                                                                                                                                                             ","INV-2024-10161                                    ","Sales                                                                                                                                                                                                   ","18203.00","0.00","C-0021              "
"2618","2024-07-06 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2024-10161                                    ","Payment                                                                                                                                                                                                 ","0.00","18203.00","C-0021              "
"2619","2024-07-06 00:00:00","BLUE'S PET CLINIC                                                                                                                                                                                       ","INV-2024-10162                                    ","Sales                                                                                                                                                                                                   ","6360.00","0.00","C-0004              "
