"ST_ID","InvoiceNo","PurchaseType","ReferenceNo1","ReferenceNo2","Date","SupplierID","SupplierInvoiceNo","SupplierInvoiceDate","TaxType","SGST","CGST","IGST","SubTotal","PreviousDue","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPayment","PaymentDue","Remarks"
"55","ST-0055                       ","Credit              ","                              ","                              ","2024-04-23 00:00:00","1","F22417301205                  ","2024-04-23 00:00:00","Exclusive           ","866.45","866.45","0.00","9627.24","249366.00","0.00","0.00","260726.14","-0.14","260726.00","0.00","260726.00",""
"56","ST-0056                       ","Credit              ","                              ","                              ","2024-05-02 00:00:00","9","                              ","2024-04-23 00:00:00","Exclusive           ","1070.92","1070.92","0.00","11899.00","2827.00","0.00","0.00","16867.84","0.16","16868.00","0.00","16868.00",""
"57","ST-0057                       ","Cash                ","                              ","                              ","2024-04-25 00:00:00","2","62425                         ","2024-04-25 00:00:00","Exclusive           ","4173.94","4173.94","0.00","46377.10","0.00","0.00","0.00","54724.98","0.02","54725.00","54725.00","0.00",""
"58","ST-0058                       ","Cash                ","                              ","                              ","2024-05-13 00:00:00","8","2024250075                    ","2024-05-13 00:00:00","Exclusive           ","19359.31","19359.31","0.00","215103.39","0.00","0.00","0.00","253822.01","-0.01","253822.00","253822.00","0.00",""
"59","ST-0059                       ","Cash                ","                              ","                              ","2024-05-31 00:00:00","8","250100                        ","2024-05-31 00:00:00","Exclusive           ","40197.33","40197.33","0.00","446636.50","0.00","0.00","0.00","527031.16","-0.16","527031.00","527031.00","0.00",""
"60","ST-0060                       ","Credit              ","                              ","                              ","2024-05-26 00:00:00","1","F22417303311                  ","2024-05-26 00:00:00","Exclusive           ","6659.33","6659.33","0.00","73992.48","260726.00","0.00","0.00","348037.14","-0.14","348037.00","0.00","348037.00",""
"61","ST-0061                       ","Credit              ","                              ","                              ","2024-05-30 00:00:00","1","F22417303478                  ","2024-05-30 00:00:00","Exclusive           ","7647.19","7647.19","0.00","84968.80","348037.00","0.00","0.00","448300.18","-0.18","448300.00","0.00","448300.00",""
"62","ST-0062                       ","Credit              ","                              ","                              ","2024-04-30 00:00:00","1","F22417301745                  ","2024-04-30 00:00:00","Exclusive           ","185.67","185.67","0.00","2062.98","448300.00","0.00","0.00","450734.32","-0.32","450734.00","0.00","450734.00",""
"63","ST-0063                       ","Credit              ","                              ","                              ","2024-04-30 00:00:00","1","                              ","2024-04-30 00:00:00","Exclusive           ","8400.45","8400.45","0.00","93338.36","450734.00","0.00","0.00","560873.26","-0.26","560873.00","0.00","560873.00",""
"64","ST-0064                       ","Credit              ","                              ","                              ","2024-06-08 00:00:00","1","11                            ","2024-04-30 00:00:00","Exclusive           ","507.49","507.49","0.00","5638.80","560873.00","0.00","0.00","567526.78","0.22","567527.00","0.00","567527.00",""
"65","ST-0065                       ","Credit              ","                              ","                              ","2024-06-10 00:00:00","1","                              ","2024-06-10 00:00:00","Exclusive           ","1815.43","1815.43","0.00","20171.50","567527.00","0.00","0.00","591329.36","-0.36","591329.00","0.00","591329.00",""
"66","ST-0066                       ","Cash                ","                              ","                              ","2024-06-29 00:00:00","8","RPET2024250149                ","2024-06-29 00:00:00","Exclusive           ","13564.74","13564.74","0.00","150719.22","0.00","0.00","0.00","177848.70","0.30","177849.00","177849.00","0.00",""
"67","ST-0067                       ","Cash                ","                              ","                              ","2024-06-25 00:00:00","8","                              ","2024-06-25 00:00:00","Exclusive           ","21190.49","21190.49","0.00","235449.71","0.00","0.00","0.00","277830.69","0.31","277831.00","277831.00","0.00",""
"68","ST-0068                       ","Credit              ","                              ","                              ","2024-06-28 00:00:00","1","F22417305412                  ","2024-06-28 00:00:00","Exclusive           ","2614.22","2614.22","0.00","29046.96","591329.00","0.00","0.00","625604.40","-0.40","625604.00","0.00","625604.00",""
"69","ST-0069                       ","Credit              ","                              ","                              ","2024-06-21 00:00:00","1","F22417304887                  ","2024-06-21 00:00:00","Exclusive           ","12611.10","12611.10","0.00","140123.20","625604.00","0.00","0.00","790949.40","-0.40","790949.00","0.00","790949.00",""
"70","ST-0070                       ","Cash                ","                              ","                              ","2024-07-09 00:00:00","8","RPET2024250166                ","2024-07-09 00:00:00","Exclusive           ","14628.68","14628.68","0.00","162541.20","0.00","0.00","0.00","191798.56","0.44","191799.00","191799.00","0.00",""
"71","ST-0071                       ","Cash                ","                              ","                              ","2024-07-12 00:00:00","1","xxx                           ","2024-07-12 00:00:00","Exclusive           ","2704.57","2704.57","0.00","30050.75","790949.00","0.00","0.00","826408.89","0.11","826409.00","35460.00","790949.00",""
"72","ST-0072                       ","Cash                ","                              ","                              ","2024-07-11 00:00:00","8","208                           ","2024-07-11 00:00:00","Exclusive           ","14807.15","14807.15","0.00","164523.80","0.00","0.00","0.00","194138.10","-0.10","194138.00","194138.00","0.00",""
"73","ST-0073                       ","Cash                ","                              ","                              ","2024-05-25 00:00:00","2","SAA/FILO/22                   ","2024-07-25 00:00:00","Exclusive           ","3896.49","3896.49","0.00","43294.32","0.00","0.00","0.00","51087.30","-0.30","51087.00","51087.00","0.00",""
"74","ST-0074                       ","Cash                ","                              ","                              ","2024-06-26 00:00:00","2","SAA/FIL/38                    ","2024-06-26 00:00:00","Exclusive           ","3866.06","3866.06","0.00","42956.28","0.00","0.00","0.00","50688.40","-0.40","50688.00","50688.00","0.00",""
"75","ST-0075                       ","Cash                ","                              ","                              ","2024-07-19 00:00:00","8","rpet2024250190                ","2024-07-19 00:00:00","Exclusive           ","14225.49","14225.49","0.00","158060.96","0.00","0.00","0.00","186511.94","0.06","186512.00","186512.00","0.00",""
"76","ST-0076                       ","Cash                ","                              ","                              ","2024-07-29 00:00:00","8","RPET2024250208                ","2024-07-29 00:00:00","Exclusive           ","32862.32","32862.32","0.00","365136.85","0.00","0.00","0.00","430861.49","-0.49","430861.00","430861.00","0.00",""
"77","ST-0077                       ","Cash                ","                              ","                              ","2024-07-27 00:00:00","2","FILO 56                       ","2024-07-27 00:00:00","Exclusive           ","3999.17","3999.17","0.00","44435.40","0.00","0.00","0.00","52433.74","0.26","52434.00","52434.00","0.00",""
"78","ST-0078                       ","Cash                ","                              ","                              ","2024-08-15 00:00:00","8","RPET2024250227                ","2024-08-15 00:00:00","Exclusive           ","63718.53","63718.53","0.00","707983.95","0.00","0.00","0.00","835421.01","-0.01","835421.00","835421.00","0.00",""
"79","ST-0079                       ","Cash                ","                              ","                              ","2024-08-13 00:00:00","2","FILO65                        ","2024-08-13 00:00:00","Exclusive           ","2559.33","2559.33","0.00","28436.95","0.00","0.00","0.00","33555.61","0.39","33556.00","33556.00","0.00",""
"80","ST-0080                       ","Cash                ","                              ","                              ","2024-08-27 00:00:00","8","2024250260                    ","2024-08-27 00:00:00","Exclusive           ","22851.79","22851.79","0.00","253908.91","0.00","0.00","0.00","299612.49","-0.49","299612.00","299612.00","0.00",""
"81","ST-0081                       ","Cash                ","                              ","                              ","2024-09-05 00:00:00","8","92                            ","2024-09-05 00:00:00","Exclusive           ","29522.04","29522.04","0.00","328022.90","0.00","0.00","0.00","387066.98","0.02","387067.00","387067.00","0.00",""
"82","ST-0082                       ","Cash                ","                              ","                              ","2024-09-20 00:00:00","8","303                           ","2024-09-20 00:00:00","Exclusive           ","22258.62","22258.62","0.00","247317.82","0.00","0.00","0.00","291835.06","-0.06","291835.00","291835.00","0.00",""
"83","ST-0083                       ","Credit              ","                              ","                              ","2024-09-15 00:00:00","1","122417310264                  ","2024-09-15 00:00:00","Exclusive           ","14489.33","14489.33","0.00","160992.65","790949.00","0.00","0.00","980920.31","-0.31","980920.00","0.00","980920.00",""
"84","ST-0084                       ","Cash                ","                              ","                              ","2024-09-27 00:00:00","8","315                           ","2024-09-27 00:00:00","Exclusive           ","35577.24","35577.24","0.00","395302.62","0.00","0.00","0.00","466457.10","-0.10","466457.00","466457.00","0.00",""
"85","ST-0085                       ","Cash                ","                              ","                              ","2024-09-27 00:00:00","8","joonees349                    ","2024-09-27 00:00:00","Exclusive           ","5725.15","5725.15","0.00","63612.90","0.00","0.00","0.00","75063.20","-0.20","75063.00","75063.00","0.00",""
"86","ST-0086                       ","Cash                ","                              ","                              ","2024-09-12 00:00:00","8","xx                            ","2024-09-12 00:00:00","Exclusive           ","265.49","265.49","0.00","2949.84","0.00","0.00","0.00","3480.82","0.18","3481.00","3481.00","0.00",""
"87","ST-0087                       ","Cash                ","                              ","                              ","2024-08-30 00:00:00","2","filo82                        ","2024-08-30 00:00:00","Exclusive           ","2416.30","2416.30","0.00","26847.60","0.00","0.00","0.00","31680.20","-0.20","31680.00","31680.00","0.00",""
"88","ST-0088                       ","Cash                ","                              ","                              ","2024-10-18 00:00:00","8","342                           ","2024-10-18 00:00:00","Exclusive           ","18165.37","18165.37","0.00","201837.24","0.00","0.00","0.00","238167.98","0.02","238168.00","238168.00","0.00",""
"89","ST-0089                       ","Cash                ","                              ","                              ","2024-10-25 00:00:00","8","0351                          ","2024-10-25 00:00:00","Exclusive           ","47412.21","47412.21","0.00","526802.42","0.00","0.00","0.00","621626.84","0.16","621627.00","621627.00","0.00",""
"90","ST-0090                       ","Credit              ","                              ","                              ","2024-11-04 00:00:00","1","F22417311752                  ","2024-10-25 00:00:00","Exclusive           ","6938.37","6938.37","0.00","77093.00","980920.00","0.00","0.00","1071889.74","0.26","1071890.00","0.00","1071890.00",""
"91","ST-0091                       ","Cash                ","                              ","                              ","2024-10-28 00:00:00","10","SIPCI20243956                 ","2024-10-28 00:00:00","Exclusive           ","47720.10","47720.10","0.00","530222.96","0.00","0.00","0.00","625663.16","-0.16","625663.00","625663.00","0.00",""
"92","ST-0092                       ","Cash                ","                              ","                              ","2024-10-04 00:00:00","10","SIPCI20243617                 ","2024-10-04 00:00:00","Exclusive           ","38117.70","38117.70","0.00","423529.95","0.00","0.00","0.00","499765.35","-0.35","499765.00","499765.00","0.00",""
"93","ST-0093                       ","Cash                ","                              ","                              ","2024-11-13 00:00:00","8","0414                          ","2024-11-13 00:00:00","Exclusive           ","32339.45","32339.45","0.00","359327.15","0.00","0.00","0.00","424006.05","-0.05","424006.00","424006.00","0.00",""
"94","ST-0094                       ","Cash                ","                              ","                              ","2024-11-18 00:00:00","8","0377                          ","2024-11-18 00:00:00","Exclusive           ","25178.67","25178.67","0.00","279762.86","0.00","0.00","0.00","330120.20","-0.20","330120.00","330120.00","0.00",""
"95","ST-0095                       ","Cash                ","                              ","                              ","2024-11-25 00:00:00","8","joonees 436                   ","2024-11-25 00:00:00","Exclusive           ","31608.48","31608.48","0.00","351204.97","0.00","0.00","0.00","414421.93","0.07","414422.00","414422.00","0.00",""
