"Inv_ID","InvoiceNo","InvoiceDate","TaxType","Customer_ID","SalesmanID","SubTotal","CGST","SGST","IGST","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPaid","Balance","Remarks","Time","RewardsClaimed"
"15","INV-2024-15                   ","2024-04-09 00:00:00","Exclusive           ","10","0","23034.52","2073.08","2073.08","0.00","0.00","815.43","27180.68","0.32","26365.57","26365.57","0.00","","Tuesday, 09 April 2024 07:15:28 PM","0.00"
"16","INV-2024-16                   ","2024-04-12 00:00:00","Exclusive           ","9","0","20593.26","1853.40","1853.40","0.00","0.00","0.00","24300.06","-0.06","24300.00","0.00","24300.00","","Friday, 12 April 2024 11:10:49 AM","0.00"
"17","INV-2024-17                   ","2024-04-12 00:00:00","Exclusive           ","27","0","5837.27","525.37","525.37","0.00","0.00","0.00","6888.01","-0.01","6888.00","0.00","6888.00","","Friday, 12 April 2024 01:19:10 PM","0.00"
"18","INV-2024-18                   ","2024-04-12 00:00:00","Exclusive           ","28","0","13519.82","1216.75","1216.75","0.00","0.00","0.00","15953.32","-0.32","15953.00","0.00","15953.00","","Friday, 12 April 2024 01:47:31 PM","0.00"
"19","INV-2024-19                   ","2024-04-13 00:00:00","Exclusive           ","16","0","8972.55","807.54","807.54","0.00","0.00","0.00","10587.63","0.37","10588.00","0.00","10588.00","","Saturday, 13 April 2024 03:03:28 PM","0.00"
"20","INV-2024-20                   ","2024-04-13 00:00:00","Exclusive           ","4","0","4665.86","419.94","419.94","0.00","0.00","0.00","5505.74","0.26","5506.00","0.00","5506.00","","Saturday, 13 April 2024 03:14:49 PM","0.00"
"21","INV-2024-21                   ","2024-04-16 00:00:00","Exclusive           ","10","0","56633.32","5096.99","5096.99","0.00","0.00","0.00","66827.30","-0.30","66827.00","0.00","66827.00","","Tuesday, 16 April 2024 10:56:50 AM","0.00"
"22","INV-2024-22                   ","2024-04-17 00:00:00","Exclusive           ","10","0","4233.97","381.05","381.05","0.00","0.00","0.00","4996.07","-0.07","4996.00","0.00","4996.00","","Wednesday, 17 April 2024 01:50:18 PM","0.00"
"23","INV-2024-23                   ","2024-04-17 00:00:00","Exclusive           ","10","0","27481.55","2473.34","2473.34","0.00","0.00","0.00","32428.23","-0.23","32428.00","32428.00","0.00","","Wednesday, 17 April 2024 02:48:28 PM","0.00"
"24","INV-2024-24                   ","2024-04-17 00:00:00","Exclusive           ","10","0","11637.84","1047.41","1047.41","0.00","0.00","411.99","13732.66","0.34","13321.01","13321.01","0.00","","Wednesday, 17 April 2024 04:01:59 PM","0.00"
"25","INV-2024-25                   ","2024-04-17 00:00:00","Exclusive           ","29","0","21431.38","1928.86","1928.86","0.00","0.00","0.00","25289.10","-0.10","25289.00","25289.00","0.00","","Wednesday, 17 April 2024 08:52:20 PM","0.00"
"26","INV-2024-26                   ","2024-04-18 00:00:00","Exclusive           ","4","0","5474.12","492.67","492.67","0.00","0.00","0.00","6459.46","-0.46","6459.00","0.00","6459.00","","Thursday, 18 April 2024 12:03:10 PM","0.00"
"27","INV-2024-27                   ","2024-04-18 00:00:00","Exclusive           ","6","0","3620.57","325.86","325.86","0.00","0.00","0.00","4272.29","-0.29","4272.00","4272.00","0.00","","Thursday, 18 April 2024 01:31:45 PM","0.00"
"28","INV-2024-28                   ","2024-04-20 00:00:00","Exclusive           ","2","0","1530.51","137.75","137.75","0.00","0.00","0.00","1806.01","-0.01","1806.00","0.00","1806.00","","Saturday, 20 April 2024 01:17:01 PM","0.00"
"29","INV-2024-29                   ","2024-04-22 00:00:00","Exclusive           ","2","0","3508.83","315.80","315.80","0.00","0.00","0.00","4140.43","-0.43","4140.00","4140.00","0.00","","Monday, 22 April 2024 07:19:35 PM","0.00"
"30","INV-2024-30                   ","2024-04-22 00:00:00","Exclusive           ","2","0","1874.22","168.69","168.69","0.00","0.00","0.00","2211.60","0.40","2212.00","0.00","2212.00","","Monday, 22 April 2024 07:22:09 PM","0.00"
"31","INV-2024-31                   ","2024-04-22 00:00:00","Exclusive           ","10","0","8364.41","752.80","752.80","0.00","0.00","0.00","9870.01","-0.01","9870.00","0.00","9870.00","","Monday, 22 April 2024 07:42:50 PM","0.00"
"32","INV-2024-32                   ","2024-04-23 00:00:00","Exclusive           ","30","0","1305.09","117.46","117.46","0.00","0.00","0.00","1540.01","-0.01","1540.00","1540.00","0.00","","Tuesday, 23 April 2024 11:41:14 AM","0.00"
"33","INV-2024-33                   ","2024-04-24 00:00:00","Exclusive           ","12","0","2091.08","188.20","188.20","0.00","0.00","0.00","2467.48","-0.48","2467.00","2467.00","0.00","","Wednesday, 24 April 2024 12:23:11 PM","0.00"
"34","INV-2024-34                   ","2024-04-24 00:00:00","Exclusive           ","27","0","5532.15","497.90","497.90","0.00","0.00","0.00","6527.95","0.05","6528.00","0.00","6528.00","","Wednesday, 24 April 2024 12:26:57 PM","0.00"
"35","INV-2024-35                   ","2024-04-25 00:00:00","Exclusive           ","15","0","8813.85","0.00","0.00","1586.49","0.00","520.00","10400.34","-0.34","9880.00","9880.00","0.00","","Thursday, 25 April 2024 09:30:03 PM","0.00"
"36","INV-2024-36                   ","2024-04-25 00:00:00","Exclusive           ","5","0","85561.73","7700.56","7700.56","0.00","0.00","5048.15","100962.85","0.15","95914.85","95914.85","0.00","","Thursday, 25 April 2024 09:41:46 PM","0.00"
"37","INV-2024-37                   ","2024-04-25 00:00:00","Exclusive           ","31","0","30642.35","2757.79","2757.79","0.00","0.00","0.00","36157.93","0.07","36158.00","36158.00","0.00","","Thursday, 25 April 2024 10:05:18 PM","0.00"
